dog_id,age,weight,sex,kind,color,neuter,thumnail,profile,careAddr,careNum,special,find_place,find_date,end_date
N447523202000149,2020(년생),4.6(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/09/202010071210253_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071210253.jpg,경상북도 예천군 예천읍 충효로 632-84 (예천읍/ 유기동물보호소) ,010-9562-0975,구조시 빨강색 목걸이 착용,목재문화체험장 인근(효자면 용두리),20201007,20201019
N447502202001699,2013(년생),3.7(Kg),F,말티즈,백,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210196_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210196.jpg,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,054-262-8295,눈 주변과 몸이 좀 지저분한 편  온순하나 약간 예민함,경북 포항시 남구 신항로 110,20201007,20201019
N446484202000358,2016(년생),9.2(Kg),F,믹스견,흰갈,N,http://www.animal.go.kr/files/shelter/2020/07/202010070910504_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910504.jpg,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,061-797-3386,믹스 흰갈 암컷 4살추정,진상면 어치리 주변,20201007,20201019
N444568202000992,2020(년생),1.50(Kg),F,믹스견,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210621_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210621.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,3개월 순함,당진시 정안로 69-20,20201007,20201016
N444568202000991,2020(년생),1.50(Kg),M,믹스견,갈 검,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210825_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210825.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,3개월 순함,당진시 정안로 69-20,20201007,20201016
N444568202000990,2020(년생),1.50(Kg),M,믹스견,검 갈,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210653_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210653.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,3개월 순함,당진시 정안로 69-20,20201007,20201016
N444568202000989,2020(년생),1.50(Kg),M,믹스견,갈 검 흰,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210995_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210995.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,3개월 순함,당진시 정안로 69-20,20201007,20201016
N444568202000988,2020(년생),1.50(Kg),F,믹스견,갈 검,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210280_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210280.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,3개월 순함,당진시 정안로 69-20,20201007,20201016
N444568202000987,2020(년생),1.50(Kg),F,믹스견,갈 검 흰,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210902_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210902.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,3개월 순함,당진시 정안로 69-20,20201007,20201016
N444568202000986,2020(년생),1.50(Kg),F,믹스견,검 회,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210291_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210291.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,3개월 순함,당진시 정안로 69-20,20201007,20201016
N444568202000985,2020(년생),1.50(Kg),F,믹스견,검 갈 흰,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210519_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210519.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,3개월 순함,당진시 정안로 69-20,20201007,20201016
N444568202000984,2018(년생),5.00(Kg),F,믹스견,검 흰,U,http://www.animal.go.kr/files/shelter/2020/07/202010071210655_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210655.jpg,충청남도 당진시 고대면 연동로 30-6 (고대면) ,041-356-8210,피부병 경계심함,당진시 원행정길 40-3,20201007,20201016
N443443202000326,2020(년생),1(Kg),M,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/20201007131045_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20201007131045.jpg,충청북도 옥천군 옥천읍 삼금로 53 (옥천읍/ 동물병원) 옥천동물병원,010-8843-8844,[관리번호 319] 6마리가 한번에 발견됨,군서면사무소 인근,20201007,20201019
N443443202000325,2020(년생),1(Kg),M,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310593_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310593.jpg,충청북도 옥천군 옥천읍 삼금로 53 (옥천읍/ 동물병원) 옥천동물병원,010-8843-8844,[관리번호 318] 6마리가 한번에 발견됨,군서면사무소 인근,20201007,20201019
N443443202000324,2020(년생),1(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310217_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310217.jpg,충청북도 옥천군 옥천읍 삼금로 53 (옥천읍/ 동물병원) 옥천동물병원,010-8843-8844,[관리번호 317] 6마리가 한번에 발견됨,군서면사무소 인근,20201007,20201019
N443443202000323,2020(년생),1(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310886_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310886.jpg,충청북도 옥천군 옥천읍 삼금로 53 (옥천읍/ 동물병원) 옥천동물병원,010-8843-8844,[관리번호 316] 6마리가 한번에 발견됨,군서면사무소 인근,20201007,20201019
N443443202000322,2020(년생),1(Kg),F,믹스견,갈색 흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310213[1]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310213[1].jpg,충청북도 옥천군 옥천읍 삼금로 53 (옥천읍/ 동물병원) 옥천동물병원,010-8843-8844,[관리번호 315] 6마리가 한번에 발견됨,군북면사무소 인근,20201007,20201019
N443443202000321,2020(년생),1(Kg),F,믹스견,흰색 갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310845_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310845.jpg,충청북도 옥천군 옥천읍 삼금로 53 (옥천읍/ 동물병원) 옥천동물병원,010-8843-8844,[관리번호 314] 한번에 6마리가 발견됨,군서면사무소 인근,20201007,20201019
N442429202000452,2012(년생),5(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071310998_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071310998.jpg,강원도 정선군 정선읍 정선로 1310 ,033-563-6563,특이사항 없음,정선군 고한읍 고토일 운동장 내,20201007,20201014
N442423202000456,2017(년생),4(Kg),F,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071110983_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071110983.jpg,강원도 속초시 하도문길 103 (대포동) ,033-633-2519,치와와믹스로추정,노학동 속초화혜,20201007,20201019
N442419202001028,2013(년생),4.8(Kg),F,시츄,흰 갈색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071110649_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071110649.jpg,강원도 원주시 호저면 칠봉로 110-6 ,033-731-1119,살짝피부외,일산두진하트리움시티단지,20201007,20201019
N441553202003014,2018(년생),10(Kg),M,믹스견,베이지색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071410396_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071410396.jpg,경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,031-356-2281,겁이 좀 있어 입질을 보임  피부상태가 좋지않아보임  여기저기 털뭉침이 있음 ,송산면 독지리 169-1,20201007,20201016
N441417202000772,2018(년생),15(Kg),M,시베리안 허스키,흰검정얼룩,U,http://www.animal.go.kr/files/shelter/2020/09/202010071310633_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071310633.jpg,경기도 양평군 양평읍 농업기술센터길 59 (양평읍) ,031-770-2337,순하고 사람을 잘 따름 ,용문119안전센터,20201007,20201019
N427347202000770,2020(년생),2(Kg),M,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071010212_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010212.jpg,대구광역시 동구 금강로 151-13 (금강동) ,053-964-6258, ,용산동 미르공원 부근,20201007,20201017
N426334202000940,2020(년생),3(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202010071010504_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010504.png,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,051-971-6208,흰색 이빨다남 허약 탈진,구평동 가구단지내,20201007,20201019
N426334202000939,2020(년생),3(Kg),F,믹스견,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202010071010223_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010223.png,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,051-971-6208,갈색 이빨다남 허약 탈진,구평동 가구단지내,20201007,20201019
N426334202000938,2014(년생),9(Kg),F,믹스견,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202010071010917_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010917.png,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,051-971-6208,야생 들개 사나움,구평동 가구단지내,20201007,20201019
N448544202000305,2020(년생),1(Kg),M,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310728_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310728.jpg,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,055-880-2439,순함,하동군 청암면 장재터길4,20201007,20201017
N448544202000304,2020(년생),2(Kg),M,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310371_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310371.jpg,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,055-880-2439,순함,하동군 횡천면 마치마을회,20201007,20201017
N448544202000303,2020(년생),2(Kg),F,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071210483_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071210483.jpg,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,055-880-2439,순함,하동군 횡천면 마치마을회관,20201007,20201017
N448535202001417,2020(년생),3(Kg),F,믹스견,검정,U,http://www.animal.go.kr/files/shelter/2020/07/202010071010519_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010519.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1428  3월추정  탈진  허약  이빨다남,김해시 한림 119,20201007,20201019
N448535202001416,2020(년생),3(Kg),F,믹스견,갈검,U,http://www.animal.go.kr/files/shelter/2020/07/202010071010208_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010208.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1427  3월추정  탈진  허약  이빨다남,김해시 한림 119,20201007,20201019
N448535202001415,2020(년생),3(Kg),F,믹스견,갈검,U,http://www.animal.go.kr/files/shelter/2020/07/202010070910416_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910416.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1426  3월추정  탈진  허약  이빨다남,김해시 한림 119,20201007,20201019
N448535202001414,2020(년생),3(Kg),F,믹스견,갈검,U,http://www.animal.go.kr/files/shelter/2020/07/202010070910102_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910102.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1425  3월추정  탈진  허약  이빨다남,김해시 한림 119,20201007,20201019
N448535202001413,2020(년생),4(Kg),M,믹스견,흰갈,U,http://www.animal.go.kr/files/shelter/2020/07/202010070910752_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910752.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1424  3월추정  탈진  허약  이빨다남,김해시 한림 119,20201007,20201019
N448535202001412,2020(년생),3(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202010070910929_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910929.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1423  3월추정  탈진  허약  이빨다남,김해시 한림 119,20201007,20201019
N448535202001411,2020(년생),3(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202010070910425_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910425.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1422  3월추정  탈진  허약  이빨다남,김해시 한림 119,20201007,20201019
N448535202001410,2020(년생),3(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202010070910570_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910570.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1421  3월추정  탈진  허약  이빨다남,김해시 한림 119,20201007,20201019
N448535202001409,2017(년생),6(Kg),M,말티즈,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/20201007091020_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20201007091020.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1420  탈진  허약,김해시 생림파출소,20201007,20201019
N448535202001408,2012(년생),20(Kg),M,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202010070910988_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910988.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1419  야생들개포획 사나움,김해시 진영읍 장등1로 32번길 16-6,20201007,20201019
N448535202001407,2014(년생),10(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202010070910613_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070910613.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,051-971-6208,1418  야생 들개포획  사나움,김해시 진영읍 장등1로 32번길 16-6,20201007,20201019
N447505202001238,2017(년생),20.0(Kg),M,믹스견,화이트,U,http://www.animal.go.kr/files/shelter/2020/09/202010061510958_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010061510958.jpg,경상북도 경주시 용담로 12 (황성동) ,010-3841-6303,진도믹스,감포읍,20201007,20201019
N447505202001237,2014(년생),4.0(Kg),M,말티즈,화이트,U,http://www.animal.go.kr/files/shelter/2020/09/202010061510507_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010061510507.jpg,경상북도 경주시 용담로 12 (황성동) ,010-3841-6303,입양희망자 있음,석장동 택시정류장,20201007,20201019
N446501202000201,2017(년생),5(Kg),M,믹스견,연황색,U,http://www.animal.go.kr/files/shelter/2020/07/202010062110579_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010062110579.jpg,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍) ,010-9678-9966,순함 녹색목줄 미용됨 후지사고추정,안좌면,20201007,20201019
N446499202000208,2015(년생),10(Kg),M,믹스견,검정 갈색믹스,N,http://www.animal.go.kr/files/shelter/2020/07/202010071110265_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071110265.jpg,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,010-3616-6658,들개본성 강하여 공격성이 강함 ,소안면 진산리 마을 일대,20201007,20201016
N446499202000207,2016(년생),10(Kg),M,믹스견,검정 갈색믹스,N,http://www.animal.go.kr/files/shelter/2020/07/202010071110646_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071110646.jpg,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,010-3616-6658,들개본성 강하여 공격성이 강함 ,소안면 진산리 마을 일대,20201007,20201016
N446486202000147,2015(년생),3(Kg),F,믹스견,연갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202010071010437_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010437.jpg,전라남도 곡성군 곡성읍 군청로 50 (곡성읍) (군청주소. 보호소는 구원리 888번지 위치),061-360-7485,피부병 살짝 있음,곡성읍 구원리 동물보호소 인근,20201007,20201019
N446482202000495,2017(년생),24.1(Kg),M,믹스견,검정 흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010070810833_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070810833.jpg,전라남도 순천시 승주읍 승주로 628 (승주읍/ 농업기술센터) 순천시유기동물보호소,061-749-8793,종합백신 코로나예방 광견병예방 레볼루션 프론트라인 사상충-음성,해룡면 도롱리 72,20201007,20201019
N446480202001007,2013(년생),6(Kg),M,믹스견,흰황색,U,http://www.animal.go.kr/files/shelter/2020/07/202010062110294_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010062110294.jpg,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍) ,010-9678-9966,심한경계 굶주림 출입구없는 장소에 며칠동안 갇힘,김대중기념관부근,20201007,20201019
N445478202000289,2019(년생),5.1(Kg),F,믹스견,진회색,N,http://www.animal.go.kr/files/shelter/2020/07/202010061310169[1]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010061310169[1].jpg,전라북도 고창군 고창읍 성산8길 39-10 (고창읍/ 더나은동물병원) ,063-562-9154,파란목줄착용/ 두달넘게 마을배회,전북 고창군 고수면 두평1길 21-6,20201007,20201016
N445468202001414,2017(년생),14(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010070210560_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070210560.jpg,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,010-3659-2380,진도믹스개이며 새끼가 나있는개처럼보임,익산시함열읍석매리131,20201007,20201019
N444450202000896,2016(년생),8(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310289_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310289.png,충청남도 공주시 감영길 7 (반죽동) ,041-853-7575,사나움 119 마취 포획,공주시 계룡면,20201007,20201019
N444450202000893,2015(년생),6(Kg),M,믹스견,검은색 흰색,N,http://www.animal.go.kr/files/shelter/2020/07/20201007131071_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20201007131071.png,충청남도 공주시 감영길 7 (반죽동) ,041-853-7575,모낭염 사상충 감염,계룡면 기산리,20201007,20201019
N444449202001418,2017(년생),2.6(Kg),F,말티즈,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010061410277_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010061410277.jpg,충청남도 천안시 동남구 목천읍 교천2길 73-1 (목천읍) ,041-552-2119,검정피부색 ,송정리 밑에 내려가는 길목,20201007,20201019
N442435202000342,2017(년생),7(Kg),M,웰시 코기 펨브로크,갈색,N,http://www.animal.go.kr/files/shelter/2020/09/202010061710706_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010061710706.jpg,강원도 양양군 손양면 동막골길 115-35 (손양면) ,033-670-2278,집에서 미용한듯이 털밀려있음,강현면 일출로 127-30- 낙산 오션밸리리조트,20201007,20201019
N442435202000341,2016(년생),4(Kg),F,믹스견,검정,U,http://www.animal.go.kr/files/shelter/2020/09/202010071110586_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071110586.jpg,강원도 양양군 손양면 동막골길 115-35 (손양면) ,033-670-2278,가방에 넣어 유기함  사람경계,강현면 진미로 448-141,20201007,20201019
N442435202000340,2017(년생),12(Kg),M,진도견,호반색,N,http://www.animal.go.kr/files/shelter/2020/09/202010061310122_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010061310122.jpg,강원도 양양군 손양면 동막골길 115-35 (손양면) ,033-670-2278,온순함,서면 곰밭길 13,20201007,20201019
N442419202001027,2018(년생),15(Kg),M,호피견,갈 검저,N,http://www.animal.go.kr/files/shelter/2020/09/202010071110230_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071110230.jpg,강원도 원주시 호저면 칠봉로 110-6 ,033-731-1119,활달함,롯데푸드주차장,20201007,20201019
N442419202001026,2005(년생),4.5(Kg),F,시츄,흰 갈색,N,http://www.animal.go.kr/files/shelter/2020/09/20201007111079_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/20201007111079.jpg,강원도 원주시 호저면 칠봉로 110-6 ,033-731-1119,한쪽눈실명  목줄착용,살대울모래기길,20201007,20201019
N442419202001025,2019(년생),5.5(Kg),M,믹스견,흰 갈색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071110180_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071110180.jpg,강원도 원주시 호저면 칠봉로 110-6 ,033-731-1119,얼굴 라인 갈색,흥대교부근,20201007,20201019
N442419202001024,2020(년생),2(Kg),M,믹스견,흰 갈색,U,http://www.animal.go.kr/files/shelter/2020/09/202010071110814_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071110814.jpg,강원도 원주시 호저면 칠봉로 110-6 ,033-731-1119,목줄착용,정산리마을회관,20201007,20201019
N441399202002912,2020(년생),0.6(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010070710795_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070710795.jpg,경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,031-591-7270,어린강아지임,금곡동,20201007,20201019
N441399202002911,2020(년생),0.7(Kg),F,믹스견,흰색 검정,N,http://www.animal.go.kr/files/shelter/2020/07/202010070710464_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070710464.jpg,경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,031-591-7270,어린강아지임,금곡동,20201007,20201019
N441399202002910,2020(년생),0.6(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010070710923_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070710923.jpg,경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,031-591-7270,어린강아지임,금곡동,20201007,20201019
N441399202002909,2020(년생),0.6(Kg),F,믹스견,흰 갈 검정색,N,http://www.animal.go.kr/files/shelter/2020/07/202010070710997_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070710997.jpg,경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,031-591-7270,어린강아지임,금곡동,20201007,20201019
N441399202002908,2020(년생),0.5(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010070710895_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070710895.jpg,경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,031-591-7270,어린강아지임,금곡동,20201007,20201019
N441399202002907,2020(년생),0.6(Kg),F,믹스견,검정 황색 흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010070710182_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010070710182.jpg,경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,031-591-7270,어린강아지임,금곡동,20201007,20201019
